;IdColumnIndex=0
200200:0=200200,4=200200
200201:0=200201,4=200201
200202:0=200202,4=200202
200203:0=200203,4=200203
200204:0=200204,4=200204
200205:0=200205,4=200205
200206:0=200206,4=200206
200207:0=200207,4=200207
200208:0=200208,4=200208
200209:0=200209,4=200209
200210:0=200210,4=200210
200211:0=200211,4=200211
200212:0=200212,4=200212
200213:0=200213,4=200213
200214:0=200214,4=200214
200215:0=200215,4=200215
200216:0=200216,4=200216
200217:0=200217,4=200217
200218:0=200218,4=200218
200219:0=200219,4=200219
200220:0=200220,4=200220
200221:0=200221,4=200221
200222:0=200222,4=200222
200223:0=200223,4=200223
200224:0=200224,4=200224
200225:0=200225,4=200225
200226:0=200226,4=200226
200227:0=200227,4=200227
200228:0=200228,4=200228
200229:0=200229,4=200229
200230:0=200230,4=200230
200231:0=200231,4=200231
200232:0=200232,4=200232
200233:0=200233,4=200233
200234:0=200234,4=200234
200235:0=200235,4=200235
200236:0=200236,4=200236
200237:0=200237,4=200237
200238:0=200238,4=200238
200239:0=200239,4=200239
200240:0=200240,4=200240
200241:0=200241,4=200241
200242:0=200242,4=200242
200243:0=200243,4=200243
200244:0=200244,4=200244
200245:0=200245,4=200245
200246:0=200246,4=200246
200247:0=200247,4=200247
200248:0=200248,4=200248
200249:0=200249,4=200249
200250:0=200250,4=200250
200251:0=200251,4=200251
200252:0=200252,4=200252
200253:0=200253,4=200253
200254:0=200254,4=200254
200255:0=200255,4=200255
200256:0=200256,4=200256
200257:0=200257,4=200257
200258:0=200258,4=200258
200259:0=200259,4=200259
200260:0=200260,4=200260
200261:0=200261,4=200261
200262:0=200262,4=200262
200263:0=200263,4=200263
200264:0=200264,4=200264
200265:0=200265,4=200265
200266:0=200266,4=200266
200267:0=200267,4=200267
200268:0=200268,4=200268
200269:0=200269,4=200269
200270:0=200270,4=200270
200271:0=200271,4=200271
200272:0=200272,4=200272
200273:0=200273,4=200273
200274:0=200274,4=200274
200275:0=200275,4=200275
200276:0=200276,4=200276
200277:0=200277,4=200277
200278:0=200278,4=200278
200279:0=200279,4=200279
200280:0=200280,4=200280
200281:0=200281,4=200281
200282:0=200282,4=200282
200283:0=200283,4=200283
200284:0=200284,4=200284
200285:0=200285,4=200285
200286:0=200286,4=200286
200287:0=200287,4=200287
